Site4,Date,Source,Max Temp,Min Temp,Avg Temp,HDDs,CDDs,Precipitation Water Equiv,Snowfall,Snow/Ice Depth
KSFO,1960-01-01,CSOD-EstDew-EstWind,48,34,41,24,0,0,0,0
KSFO,1960-01-02,CSOD-EstDew-EstWind,47,29,38,27,0,0,0,0
KSFO,1960-01-03,CSOD-EstDew-EstWind,53,38,45.5,19.5,0,0,0,0
KSFO,1960-01-04,CSOD-EstDew-EstWind,56,33,44.5,20.5,0,0,0,0
KSFO,1960-01-05,CSOD-EstDew-EstWind,52,35,43.5,21.5,0,0,0,0
KSFO,1960-01-06,CSOD-EstDew-EstWind,52,40,46,19,0,0,0,0
KSFO,1960-01-07,CSOD-EstDew-EstWind,62,47,54.5,10.5,0,0.09,0,0
KSFO,1960-01-08,CSOD-EstDew-EstWind,54,49,51.5,13.5,0,0.44,0,0
KSFO,1960-01-09,CSOD-EstDew-EstWind,51,46,48.5,16.5,0,0.97,0,0
KSFO,1960-01-10,CSOD-EstDew-EstWind,55,45,50,15,0,0.07,0,0
KSFO,1960-01-11,CSOD-EstDew-EstWind,55,44,49.5,15.5,0,0.66,0,0
KSFO,1960-01-12,CSOD-EstDew-EstWind,53,40,46.5,18.5,0,0,0,0
KSFO,1960-01-13,CSOD-EstDew-EstWind,50,35,42.5,22.5,0,0.14,0,0
KSFO,1960-01-14,CSOD-EstDew-EstWind,50,38,44,21,0,0.73,0,0
KSFO,1960-01-15,CSOD-EstDew-EstWind,53,39,46,19,0,0,0,0
KSFO,1960-01-16,CSOD-EstDew-EstWind,55,36,45.5,19.5,0,0,0,0
KSFO,1960-01-17,CSOD-EstDew-EstWind,55,37,46,19,0,0,0,0
KSFO,1960-01-18,CSOD-EstDew-EstWind,49,41,45,20,0,0,0,0
KSFO,1960-01-19,CSOD-EstDew-EstWind,53,40,46.5,18.5,0,0,0,0
KSFO,1960-01-20,CSOD-EstDew-EstWind,58,43,50.5,14.5,0,0,0,0
KSFO,1960-01-21,CSOD-EstDew-EstWind,55,50,52.5,12.5,0,0.23,0,0
KSFO,1960-01-22,CSOD-EstDew-EstWind,61,49,55,10,0,0,0,0
KSFO,1960-01-23,CSOD-EstDew-EstWind,59,46,52.5,12.5,0,0,0,0
KSFO,1960-01-24,CSOD-EstDew-EstWind,61,49,55,10,0,0.35,0,0
KSFO,1960-01-25,CSOD-EstDew-EstWind,62,53,57.5,7.5,0,0.72,0,0
KSFO,1960-01-26,CSOD-EstDew-EstWind,60,50,55,10,0,0.07,0,0
KSFO,1960-01-27,CSOD-EstDew-EstWind,61,48,54.5,10.5,0,0,0,0
KSFO,1960-01-28,CSOD-EstDew-EstWind,60,48,54,11,0,0,0,0
KSFO,1960-01-29,CSOD-EstDew-EstWind,64,45,54.5,10.5,0,0,0,0
KSFO,1960-01-30,CSOD-EstDew-EstWind,63,49,56,9,0,0,0,0
KSFO,1960-01-31,CSOD-EstDew-EstWind,59,46,52.5,12.5,0,0.02,0,0
KSFO,1960-02-01,CSOD-EstDew-EstWind,62,51,56.5,8.5,0,1.06,0,0
KSFO,1960-02-02,CSOD-EstDew-EstWind,59,46,52.5,12.5,0,0,0,0
KSFO,1960-02-03,CSOD-EstDew-EstWind,58,47,52.5,12.5,0,0.15,0,0
KSFO,1960-02-04,CSOD-EstDew-EstWind,58,43,50.5,14.5,0,0.16,0,0
KSFO,1960-02-05,CSOD-EstDew-EstWind,59,53,56,9,0,0.55,0,0
KSFO,1960-02-06,CSOD-EstDew-EstWind,62,53,57.5,7.5,0,0,0,0
KSFO,1960-02-07,CSOD-EstDew-EstWind,63,55,59,6,0,0.06,0,0
KSFO,1960-02-08,CSOD-EstDew-EstWind,62,49,55.5,9.5,0,1.3,0,0
KSFO,1960-02-09,CSOD-EstDew-EstWind,57,47,52,13,0,0.74,0,0
KSFO,1960-02-10,CSOD-EstDew-EstWind,56,44,50,15,0,0.17,0,0
KSFO,1960-02-11,CSOD-EstDew-EstWind,60,40,50,15,0,0,0,0
KSFO,1960-02-12,CSOD-EstDew-EstWind,59,42,50.5,14.5,0,0,0,0
KSFO,1960-02-13,CSOD-EstDew-EstWind,58,44,51,14,0,0,0,0
KSFO,1960-02-14,CSOD-EstDew-EstWind,62,40,51,14,0,0,0,0
KSFO,1960-02-15,CSOD-EstDew-EstWind,60,42,51,14,0,0,0,0
KSFO,1960-02-16,CSOD-EstDew-EstWind,62,43,52.5,12.5,0,0,0,0
KSFO,1960-02-17,CSOD-EstDew-EstWind,60,39,49.5,15.5,0,0,0,0
KSFO,1960-02-18,CSOD-EstDew-EstWind,54,45,49.5,15.5,0,0.19,0,0
KSFO,1960-02-19,CSOD-EstDew-EstWind,57,39,48,17,0,0,0,0
KSFO,1960-02-20,CSOD-EstDew-EstWind,62,43,52.5,12.5,0,0,0,0
KSFO,1960-02-21,CSOD-EstDew-EstWind,59,39,49,16,0,0,0,0
KSFO,1960-02-22,CSOD-EstDew-EstWind,60,38,49,16,0,0,0,0
KSFO,1960-02-23,CSOD-EstDew-EstWind,60,39,49.5,15.5,0,0,0,0
KSFO,1960-02-24,CSOD-EstDew-EstWind,60,37,48.5,16.5,0,0,0,0
KSFO,1960-02-25,CSOD-EstDew-EstWind,56,46,51,14,0,0,0,0
KSFO,1960-02-26,CSOD-EstDew-EstWind,55,48,51.5,13.5,0,0,0,0
KSFO,1960-02-27,CSOD-EstDew-EstWind,53,43,48,17,0,0,0,0
KSFO,1960-02-28,CSOD-EstDew-EstWind,54,44,49,16,0,0,0,0
KSFO,1960-02-29,CSOD-EstDew-EstWind,59,41,50,15,0,0,0,0
KSFO,1960-03-01,CSOD-EstDew-EstWind,54,45,49.5,15.5,0,0,0,0
KSFO,1960-03-02,CSOD-EstDew-EstWind,56,40,48,17,0,0,0,0
KSFO,1960-03-03,CSOD-EstDew-EstWind,60,46,53,12,0,0,0,0
KSFO,1960-03-04,CSOD-EstDew-EstWind,62,53,57.5,7.5,0,0,0,0
KSFO,1960-03-05,CSOD-EstDew-EstWind,60,54,57,8,0,0.03,0,0
KSFO,1960-03-06,CSOD-EstDew-EstWind,60,53,56.5,8.5,0,0.2,0,0
KSFO,1960-03-07,CSOD-EstDew-EstWind,62,50,56,9,0,0.14,0,0
KSFO,1960-03-08,CSOD-EstDew-EstWind,59,47,53,12,0,0,0,0
KSFO,1960-03-09,CSOD-EstDew-EstWind,59,46,52.5,12.5,0,0,0,0
KSFO,1960-03-10,CSOD-EstDew-EstWind,61,39,50,15,0,0,0,0
